method,variant,scenario,num_bs,num_users,experiment,seed,run_id,num_eval_episodes,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_iterations,training_env_steps,training_walltime_s,algorithm_backend,eval_user_steps_csv,code_version,run_dir,summary_path,algorithm
ours,no_neighbor,urban,4,80,ablation,42,ours__no_neighbor__urban__bs4__u80__ablation__seed42,20,197.2848343546112,159.82743558662582,463.4143652118784,48.2903125,0.0,0.7577976149988108,0.9685712940372366,491088.67814345215,15.886526465415956,101.84620808330888,200,200000,4587.96589422226,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42/run_summary.csv,Ours
ours,no_neighbor,urban,4,80,ablation,43,ours__no_neighbor__urban__bs4__u80__ablation__seed43,20,197.41591915401816,136.09792108962682,435.0799412153131,54.071875,0.0,0.7715297858169323,0.9701855384829708,497288.9443074334,15.78698033094406,106.00196534627386,200,200000,4641.41045665741,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43/run_summary.csv,Ours
ours,no_neighbor,urban,4,80,ablation,44,ours__no_neighbor__urban__bs4__u80__ablation__seed44,20,197.40515981626717,138.58453969577886,440.56996082321496,53.6390625,0.0,0.7692994928281734,0.9701345796570656,463962.8558399709,15.633168816566467,106.1809343597008,200,200000,4573.923617601395,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44/run_summary.csv,Ours
ours,full,urban,8,160,bs_scale,42,ours__full__urban__bs8__u160__bs_scale__seed42,20,382.771250771976,153.93860818694296,464.1761090046528,50.55328125,0.4353125,0.7562472534286081,0.967928502025557,947878.08289943,108.69055390357973,102.48603443692475,200,200000,24856.40101838112,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42/run_summary.csv,Ours
ours,full,urban,8,160,bs_scale,43,ours__full__urban__bs8__u160__bs_scale__seed43,20,382.0346543393935,164.56886634898885,475.9401764730304,47.70078125,0.14765625,0.7493832583136063,0.9687394397709296,915686.2205451193,109.22710293531418,100.90129362177966,200,200000,25050.253154039383,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43/run_summary.csv,Ours
ours,full,urban,8,160,bs_scale,44,ours__full__urban__bs8__u160__bs_scale__seed44,20,380.41166475309126,144.67796880063648,451.5772356837542,52.98984375,0.7040625,0.7607690871451895,0.9680632083055056,996530.5319673036,109.58228504657744,103.46314047853828,200,200000,25070.348390579224,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44/run_summary.csv,Ours
cent_ppo,full,urban,4,80,main,42,cent_ppo__full__urban__bs4__u80__main__seed42,20,194.71791526768723,148.39592498910088,455.6972132631147,51.2953125,0.0,0.761572924259518,0.964540834993249,493076.42710031866,18.50565755367279,103.45825360919072,200,200000,3885.9587893486014,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42/run_summary.csv,Cent-PPO
cent_ppo,full,urban,4,80,main,43,cent_ppo__full__urban__bs4__u80__main__seed43,20,196.28279592206744,136.1800538867453,435.9439553817384,54.0828125,0.0,0.7703664735334008,0.9695868976458906,499602.8602218264,18.484669387340546,105.78595037027064,200,200000,3878.665544748306,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43/run_summary.csv,Cent-PPO
cent_ppo,full,urban,4,80,main,44,cent_ppo__full__urban__bs4__u80__main__seed44,20,195.92003735158693,155.2430782071015,464.5152642330143,49.63375,0.0,0.7588134092380462,0.964018905461412,496638.66385288193,18.74871051311493,102.32225337104818,200,200000,3901.375830888748,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44/run_summary.csv,Cent-PPO
ma_a2c,full,urban,4,80,main,42,ma_a2c__full__urban__bs4__u80__main__seed42,20,197.28461253355343,216.9645773086104,452.6697532660934,24.991875,0.0,0.7217917632846824,0.9652481982539372,500160.0,15.949009597301483,87.24344095063952,200,200000,3855.437086343765,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42/run_summary.csv,MA-A2C
