run_id,algorithm,method,seed,experiment,scenario,num_bs,num_users,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_env_steps,training_iterations,training_walltime_s,algorithm_backend,run_dir
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,main,urban,4,80,194.71791526768723,148.39592498910088,455.6972132631147,51.2953125,0.0,0.761572924259518,0.964540834993249,493076.42710031866,18.50565755367279,103.45825360919072,200000,200,3885.9587893486014,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,main,urban,4,80,196.28279592206744,136.1800538867453,435.9439553817384,54.0828125,0.0,0.7703664735334008,0.9695868976458906,499602.8602218264,18.484669387340546,105.78595037027064,200000,200,3878.665544748306,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,main,urban,4,80,195.92003735158693,155.2430782071015,464.5152642330143,49.63375,0.0,0.7588134092380462,0.964018905461412,496638.66385288193,18.74871051311493,102.32225337104818,200000,200,3901.375830888748,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,main,urban,4,80,197.26053839351405,164.44202635834228,474.5862982603968,47.59875,0.0,0.7537011765187851,0.9657616684255445,445384.7019553187,18.69670081138611,101.85052031538189,200000,200,4533.13742351532,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,main,urban,4,80,195.1947275753363,136.19317708694868,433.445776955797,53.9903125,0.0,0.7693624426407222,0.9736288783984304,489725.6874616441,18.53377825021744,105.88968073562486,200000,200,4508.629887342453,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,main,urban,4,80,192.1226713734953,141.2116298626886,446.0989887906175,53.11625,0.0,0.7620514581445171,0.9746680132437032,436357.3642434348,18.433067560195923,105.60432888932932,200000,200,4494.296009063721,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,main,urban,4,80,197.28461253355343,216.9645773086104,452.6697532660934,24.991875,0.0,0.7217917632846824,0.9652481982539372,500160.0,15.949009597301483,87.24344095063952,200000,200,3855.437086343765,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,main,urban,4,80,197.28461253355343,215.19724449063276,453.0899261387603,25.1503125,0.0,0.7235661645271799,0.9652481982539372,500160.0,15.933578550815582,87.5550521744201,200000,200,3824.983960390091,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,main,urban,4,80,197.28461253355343,247.45127209987976,560.6131523423255,23.8446875,0.0,0.6907398195868034,0.9652481982539372,500160.0,16.051713824272156,82.4154860353149,200000,200,3796.1001856327057,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,main,urban,4,80,196.56344275477232,159.25766390212044,463.20662687131374,48.404375,0.0,0.7576101484718881,0.968624391957878,500153.903660472,16.059805393218994,101.68534705900186,200000,200,4603.540713310242,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,main,urban,4,80,197.41942741060683,135.96787916439916,434.7568907451393,54.0996875,0.0,0.7716521555084006,0.970293234437276,499356.5220157214,15.918751180171968,105.99069470774464,200000,200,4568.820488214493,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,main,urban,4,80,197.4069564023332,139.81197429796046,443.8673312903707,53.445625,0.0,0.7681938502931134,0.9707533695113866,449521.2877705887,15.72246503829956,106.24959911370595,200000,200,4611.048085689545,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44
