run_id,algorithm,method,seed,num_bs,num_users,n_eval_episodes,task_group,n_rows,deadline_candidates,deadline_hits,deadline_satisfaction_pct,mean_latency_ms,p95_latency_ms,avg_qoe
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,4,80,20,overall,320000,320000,164145,51.2953125,148.39592498910088,455.6972132631147,0.761572924259518
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,4,80,20,light,96256,96256,96256,100.0,10.063246419393487,33.31044295392675,0.8459354326065225
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,4,80,20,heavy,223744,223744,67889,30.34226616132723,207.90746634174388,486.4842907474965,0.7252796712406694
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,4,80,20,overall,320000,320000,173065,54.0828125,136.1800538867453,435.9439553817383,0.7703664735334008
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,4,80,20,light,96256,96256,96256,100.0,3.3296225615923194,3.4750610543963045,0.8474145667961032
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,4,80,20,heavy,223744,223744,76809,34.32896524599543,193.33309985729167,465.46203699516167,0.7372199254020779
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,4,80,20,overall,320000,320000,158828,49.63375,155.2430782071015,464.5152642330143,0.7588134092380462
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,4,80,20,light,96256,96256,96256,100.0,14.482676169890128,38.853470024411706,0.8470674167086245
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,4,80,20,heavy,223744,223744,62572,27.965889588100687,215.79904063958602,495.778622745688,0.7208460101431522
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,4,80,20,overall,320000,320000,152316,47.59875,164.44202635834228,474.58629826039675,0.7537011765187851
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,4,80,20,light,96256,96256,96256,100.0,18.169917359748457,41.3998608085131,0.8483258855124356
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,4,80,20,heavy,223744,223744,56060,25.0554204805492,227.3691579183781,503.2401900750609,0.712993063725178
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,4,80,20,overall,320000,320000,172769,53.9903125,136.19317708694868,433.44577695579704,0.7693624426407222
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,4,80,20,light,96256,96256,96240,99.98337765957447,3.4078163628990366,3.4832501709212638,0.8463060371559471
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,4,80,20,heavy,223744,223744,76529,34.20382222540046,193.31822929775257,461.96932282800464,0.7362608504922964
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,4,80,20,overall,320000,320000,169972,53.11625,141.2116298626886,446.0989887906175,0.7620514581445171
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,4,80,20,light,96256,96256,95900,99.63015292553192,4.116493151640243,3.5124382731060884,0.843090562859381
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,4,80,20,heavy,223744,223744,74072,33.10569221967963,200.19077334478723,474.25061554125324,0.7271879531413264
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,4,80,20,overall,320000,320000,79974,24.991875,216.96457730861042,452.6697532660934,0.7217917632846824
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,4,80,20,light,96256,96256,11446,11.891206781914894,240.22124205764732,406.0878095047245,0.7055212970767482
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,4,80,20,heavy,223744,223744,68528,30.627860411899313,206.95942176440232,483.20778441866474,0.7287914146510249
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,4,80,20,overall,320000,320000,80481,25.1503125,215.19724449063278,453.0899261387603,0.7235661645271799
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,4,80,20,light,96256,96256,12223,12.698429188829786,233.40626823457305,394.50523690232455,0.7120691717464068
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,4,80,20,heavy,223744,223744,68258,30.507186784897026,207.3636141385486,483.5955799080097,0.728512239224629
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,4,80,20,overall,320000,320000,76303,23.8446875,247.45127209987976,560.6131523423255,0.6907398195868034
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,4,80,20,light,96256,96256,3139,3.2610954122340425,357.79188511946336,605.9670783263117,0.5912956858178925
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,4,80,20,heavy,223744,223744,73164,32.69987128146453,199.98208389008184,476.1750829437716,0.7335212775926505
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,4,80,20,overall,320000,320000,154894,48.404375,159.25766390212044,463.20662687131374,0.7576101484718881
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,4,80,20,light,96256,96256,96256,100.0,17.685122280175506,40.35146498310926,0.8476971740962804
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,4,80,20,heavy,223744,223744,58638,26.20763014874142,220.1630136159092,492.8594886316258,0.7188541740613945
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,4,80,20,overall,320000,320000,173119,54.0996875,135.96787916439916,434.7568907451393,0.7716521555084006
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,4,80,20,light,96256,96256,96256,100.0,3.326091202004432,3.46526935302158,0.8484989751045802
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,4,80,20,heavy,223744,223744,76863,34.35309997139588,193.03116551893064,463.84651412393447,0.7385921965059251
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,4,80,20,overall,320000,320000,171026,53.445625,139.81197429796046,443.8673312903707,0.7681938502931134
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,4,80,20,light,96256,96256,96256,100.0,3.326099497551545,3.4652749607015503,0.8484949576729364
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,4,80,20,heavy,223744,223744,74770,33.417655892448515,198.5290096812028,472.1682803918875,0.7336478361342877
