algorithm,task_group,n_seeds,deadline_hits_pooled,deadline_candidates_pooled,n_rows_pooled,deadline_satisfaction_pct_pooled,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_ci95
Cent-PPO,heavy,3,207270,671232,671232,30.87904033180778,30.879040331807783,3.2153192438068197,7.987940449345368,205.6798689462072,11.397423674929371,28.315055112071718,482.5749834961154,15.531769225736314,38.586167730351434,0.7277818689286333,0.008468885415381334,0.02103957561934091
Cent-PPO,light,3,288768,288768,288768,100.0,100.0,0.0,0.0,9.291848383625313,5.616399415513594,13.95303566116316,25.212991344244923,19.02851799906579,47.2732743128403,0.8468058053704167,0.0007734919889085956,0.001921615701877343
Cent-PPO,overall,3,496038,960000,960000,51.670625,51.670625,2.2481512152697287,5.5851679621822825,146.60635236098256,9.656689479480308,23.990482639783284,452.0521442926224,14.630270613303251,36.34654028273385,0.7635842690103217,0.006033444657332055,0.014989117090012051
MAPPO,heavy,3,206661,671232,671232,30.78831164187643,30.78831164187643,4.995097914764437,12.409512603963634,206.9593868536393,18.006305329131095,44.73375231988971,479.82004281477293,21.19162596280202,52.64716607587789,0.7254806224529337,0.01172747666037619,0.029135018354588312
MAPPO,light,3,288396,288768,288768,99.87117686170212,99.87117686170212,0.2088982501256119,0.5189739044388642,8.564742291429246,8.325869129857907,20.684274796802633,16.131849750846815,21.882744345581667,54.364137880691736,0.8459074951759212,0.0026403177086818286,0.006559442165789997
MAPPO,overall,3,495057,960000,960000,51.5684375,51.56843750000001,3.4655173422187264,8.609517144879817,147.2822777693265,15.07112954606436,37.44178297387276,451.3770213356038,21.071991931542826,52.349954681004974,0.7617050257680081,0.007836378352220735,0.01946821415529689
MA-A2C,heavy,3,209950,671232,671232,31.27830615942029,31.278306159420293,1.2325891765803259,3.0621683865438394,204.76837326434426,4.149971969720093,10.309933927844922,480.99281575681533,4.1767820662320805,10.376539274978478,0.7302749771561015,0.0028148418468769408,0.00699301915058275
MA-A2C,light,3,26808,288768,288768,9.283577127659575,9.283577127659575,5.231215586556581,12.996108757657115,277.13979847056123,69.92982394993433,173.72933354011985,468.8533749111202,118.88509050841607,295.3507727499913,0.6696287182136825,0.06791735153046166,0.16872967141522777
MA-A2C,overall,3,236758,960000,960000,24.66229166666667,24.662291666666665,0.712483712350383,1.7700505093998415,226.53769796637434,18.133230644333516,45.04907773005052,488.79094391572636,62.200211846633735,154.5263628563746,0.712032582466222,0.01846140401545075,0.045864371374871205
Ours,heavy,3,210271,671232,671232,31.326128670861937,31.326128670861937,4.457357316496162,11.07358308951931,203.90772960534755,14.343370116753364,35.633782417168135,476.2914277158159,14.93949230519902,37.11475154675278,0.7303647355672025,0.010270415985021993,0.02551518684696102
Ours,light,3,288768,288768,288768,100.0,100.0,0.0,0.0,8.112437659910494,8.290188063567129,20.59563096050275,15.760669765610798,21.29625335761473,52.9070959104484,0.8482303689579324,0.00046176466442143446,0.0011471795990755994
Ours,overall,3,499039,960000,960000,51.98322916666667,51.98322916666667,3.1165842356941167,7.742649296191902,145.01250578816004,12.485498152567509,31.01820011036919,447.27694963560793,14.528110488200884,36.09273998057498,0.765818718091134,0.007316107580949446,0.01817568559955397
