run_id,algorithm,method,seed,num_bs,num_users,n_eval_episodes,service_class,n_rows,deadline_candidates,deadline_hits,deadline_satisfaction_pct,mean_latency_ms,p95_latency_ms,avg_qoe
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,4,80,20,infotainment,230200,230200,118137,51.31928757602085,148.33583532734843,454.79196578905186,0.7016885856383995
cent_ppo__full__urban__bs4__u80__main__seed42,Cent-PPO,cent_ppo,42,4,80,20,safety,89800,89800,46008,51.233853006681514,148.54996329795856,458.09390774638007,0.915084892528799
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,4,80,20,infotainment,230200,230200,124465,54.068201563857514,136.15752720098249,435.4178074731246,0.7109640476119536
cent_ppo__full__urban__bs4__u80__main__seed43,Cent-PPO,cent_ppo,43,4,80,20,safety,89800,89800,48600,54.12026726057906,136.23780046873418,436.9937358574852,0.9226430709400506
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,4,80,20,infotainment,230200,230200,114380,49.687228496959165,155.06185338579533,463.8358458042143,0.6994092630239119
cent_ppo__full__urban__bs4__u80__main__seed44,Cent-PPO,cent_ppo,44,4,80,20,safety,89800,89800,44448,49.496659242761694,155.70764339490404,466.4175871906807,0.9110944165709379
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,4,80,20,infotainment,230200,230200,109718,47.66203301476977,164.36333190560353,474.0714659886638,0.6946817321520684
mappo__full__urban__bs4__u80__main__seed42,MAPPO,mappo,42,4,80,20,safety,89800,89800,42598,47.43652561247216,164.6437575723786,475.5573685712909,0.9049960105189877
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,4,80,20,infotainment,230200,230200,124336,54.012163336229364,136.09626742466025,432.8097208031116,0.7096290360715166
mappo__full__urban__bs4__u80__main__seed43,MAPPO,mappo,43,4,80,20,safety,89800,89800,48433,53.93429844097996,136.44160252412897,435.3728490926657,0.9224875004606686
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,4,80,20,infotainment,230200,230200,122341,53.145525629887054,141.0943171761379,445.4121841987568,0.7012327191605376
mappo__full__urban__bs4__u80__main__seed44,MAPPO,mappo,44,4,80,20,safety,89800,89800,47631,53.04120267260579,141.51235792999333,447.2242533203149,0.9179587378116897
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,4,80,20,infotainment,230200,230200,57532,24.99218071242398,216.94664779698627,451.79158245495427,0.662757939495111
ma_a2c__full__urban__bs4__u80__main__seed42,MA-A2C,ma_a2c,42,4,80,20,safety,89800,89800,22442,24.99109131403118,217.01053915243986,454.82258655391286,0.8731234585670806
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,4,80,20,infotainment,230200,230200,57910,25.156385751520418,215.17522096248092,452.2321142694197,0.6645358051507341
ma_a2c__full__urban__bs4__u80__main__seed43,MA-A2C,ma_a2c,43,4,80,20,safety,89800,89800,22571,25.134743875278396,215.25370124097296,455.24043195510154,0.8748889788752624
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,4,80,20,infotainment,230200,230200,54785,23.79887054735013,247.50251122068485,560.5258511411547,0.631644849197793
ma_a2c__full__urban__bs4__u80__main__seed44,MA-A2C,ma_a2c,44,4,80,20,safety,89800,89800,21518,23.962138084632517,247.31992192605657,560.9053121278779,0.842228262610747
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,4,80,20,infotainment,230200,230200,111584,48.47263249348393,159.14585705478325,462.49859820170025,0.6983838091730004
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,4,80,20,safety,89800,89800,43310,48.229398663697104,159.5442778916198,465.26245966404724,0.9094353523316212
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,4,80,20,infotainment,230200,230200,124537,54.0994787141616,135.88408196743737,434.27775722621834,0.7127117261424447
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,4,80,20,safety,89800,89800,48582,54.10022271714922,136.18269113255747,436.3946849076743,0.9227444365779227
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,4,80,20,infotainment,230200,230200,123063,53.45916594265856,139.735746969714,443.08981324426406,0.7092393447616385
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,4,80,20,safety,89800,89800,47963,53.410913140311806,140.00738110155004,445.62086643794055,0.9193222152524171
