run_id,algorithm,method,seed,experiment,scenario,num_bs,num_users,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_env_steps,training_iterations,training_walltime_s,algorithm_backend,run_dir,users_per_bs
ours__full__urban__bs4__u20__user_load__seed42,Ours,ours,42,user_load,urban,4,20,54.19508185441023,56.942635263535486,157.7103980968634,80.3,0.0,0.853077137400954,0.9136425013389684,476068.09161270375,5.784134209156036,127.6839865978523,200000,200,2231.0208444595337,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42,5.0
ours__full__urban__bs4__u20__user_load__seed43,Ours,ours,43,user_load,urban,4,20,54.108540121296286,56.6431545038429,156.76785833903153,80.46875,0.0,0.8529333186869027,0.9149044938292498,481955.61596359656,5.777594745159149,127.63547593759748,200000,200,2241.697264432907,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43,5.0
ours__full__urban__bs4__u20__user_load__seed44,Ours,ours,44,user_load,urban,4,20,54.20796757082058,56.960182809695645,157.05957471401567,80.22,0.0,0.8531804251612084,0.9160778405640864,464576.0359122033,5.758032381534576,127.94622474207236,200000,200,2236.9089901447296,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44,5.0
ours__full__urban__bs4__u40__user_load__seed42,Ours,ours,42,user_load,urban,4,40,102.2845618855072,90.56995444149082,258.63879989633665,62.965625,0.0,0.8293306815025268,0.9552128145992158,497640.3954531316,9.130145490169523,116.94911995574242,200000,200,3025.14883184433,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42,10.0
ours__full__urban__bs4__u40__user_load__seed43,Ours,ours,43,user_load,urban,4,40,103.28423678024056,78.79316463678379,246.68822798037817,67.00875,0.0,0.8354867549293038,0.9515921647287516,500019.6290518637,8.882798671722412,119.32072717829084,200000,200,3106.7342054843903,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43,10.0
ours__full__urban__bs4__u40__user_load__seed44,Ours,ours,44,user_load,urban,4,40,103.08066755145391,79.69868766383127,248.74506359247565,66.58375,0.0,0.8345094479951729,0.9508194472931882,477582.6201874364,8.904469728469849,119.44509717843616,200000,200,3017.645105600357,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44,10.0
ours__full__urban__bs4__u60__user_load__seed42,Ours,ours,42,user_load,urban,4,60,151.87894247064645,123.97658702006257,357.1030774960637,54.17041666666667,0.0,0.7921006215006516,0.9711291930025908,500139.7752658549,12.411024510860443,109.07793151400256,200000,200,3776.59042263031,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42,15.0
ours__full__urban__bs4__u60__user_load__seed43,Ours,ours,43,user_load,urban,4,60,151.9638847210328,115.24046895236006,347.7169592072818,56.6625,0.0,0.7965322806354077,0.9710871651784428,500030.4604673437,12.28967970609665,110.69740288914728,200000,200,3810.552417516709,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed43,15.0
ours__full__urban__bs4__u60__user_load__seed44,Ours,ours,44,user_load,urban,4,60,151.93924784851228,106.69284892743542,338.33564747125735,59.059583333333336,0.0,0.8007179703213384,0.9711100468520044,499829.3620635524,12.18900501728058,112.2462819182004,200000,200,3743.736760854721,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed44,15.0
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,main,urban,4,80,196.56344275477232,159.25766390212044,463.20662687131374,48.404375,0.0,0.7576101484718881,0.968624391957878,500153.903660472,16.059805393218994,101.68534705900186,200000,200,4603.540713310242,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42,20.0
