algorithm,seed,training_episode,env_steps,return_value
Cent-PPO,42,,1000,6.735767005309755
Cent-PPO,42,,2000,7.692989744586404
Cent-PPO,42,,3000,9.282551142362022
Cent-PPO,42,,4000,9.939991325283223
Cent-PPO,42,,5000,10.488972356008842
Cent-PPO,42,,6000,11.209150851162638
Cent-PPO,42,,7000,12.100105632156971
Cent-PPO,42,,8000,13.061323543598965
Cent-PPO,42,,9000,13.923553909057723
Cent-PPO,42,,10000,14.92464364964234
Cent-PPO,42,,11000,15.744915428612154
Cent-PPO,42,,12000,16.736694138295096
Cent-PPO,42,,13000,17.56284350773304
Cent-PPO,42,,14000,18.40056681601322
Cent-PPO,42,,15000,19.434239393882525
Cent-PPO,42,,16000,20.33807696338045
Cent-PPO,42,,17000,21.27134845570606
Cent-PPO,42,,18000,22.24140762108184
Cent-PPO,42,,19000,23.38370385681683
Cent-PPO,42,,20000,24.37151845755935
Cent-PPO,42,,21000,26.30410565629104
Cent-PPO,42,,22000,28.356032295456288
Cent-PPO,42,,23000,30.090830009499985
Cent-PPO,42,,24000,32.136937210658544
Cent-PPO,42,,25000,34.258331436692046
Cent-PPO,42,,26000,36.39690486131888
Cent-PPO,42,,27000,38.48140825018108
Cent-PPO,42,,28000,40.73585020776547
Cent-PPO,42,,29000,42.90264831019895
Cent-PPO,42,,30000,45.02777300705936
Cent-PPO,42,,31000,47.20442759078173
Cent-PPO,42,,32000,49.33073745213464
Cent-PPO,42,,33000,51.57140928512458
Cent-PPO,42,,34000,53.83819530770585
Cent-PPO,42,,35000,55.882492746637865
Cent-PPO,42,,36000,57.95978674972431
Cent-PPO,42,,37000,59.98580474873333
Cent-PPO,42,,38000,61.9826354045925
Cent-PPO,42,,39000,63.75002177137697
Cent-PPO,42,,40000,65.63753090483029
Cent-PPO,42,,41000,67.42487948607695
Cent-PPO,42,,42000,69.08084836080533
Cent-PPO,42,,43000,70.90593691236059
Cent-PPO,42,,44000,72.47928001108484
Cent-PPO,42,,45000,73.96939678757744
Cent-PPO,42,,46000,75.2969797563649
Cent-PPO,42,,47000,76.65549664375466
Cent-PPO,42,,48000,77.7203682145648
Cent-PPO,42,,49000,78.87433883114281
Cent-PPO,42,,50000,79.88217171629915
Cent-PPO,42,,51000,80.86701348547501
Cent-PPO,42,,52000,81.7494235981845
Cent-PPO,42,,53000,82.50075935957966
Cent-PPO,42,,54000,83.22011612256682
Cent-PPO,42,,55000,83.93920495764687
Cent-PPO,42,,56000,84.61558155343859
Cent-PPO,42,,57000,85.28206624602443
Cent-PPO,42,,58000,85.8262926388164
Cent-PPO,42,,59000,86.34045592485026
Cent-PPO,42,,60000,86.80729112416951
Cent-PPO,42,,61000,87.31281201699662
Cent-PPO,42,,62000,87.68099546058674
Cent-PPO,42,,63000,88.02441706464626
Cent-PPO,42,,64000,88.37425116117852
Cent-PPO,42,,65000,88.6978754649857
Cent-PPO,42,,66000,89.01136808420648
Cent-PPO,42,,67000,89.32152901469661
Cent-PPO,42,,68000,89.64671370466021
Cent-PPO,42,,69000,89.884568232566
Cent-PPO,42,,70000,90.14023608988674
Cent-PPO,42,,71000,90.4016977094358
Cent-PPO,42,,72000,90.61921686034904
Cent-PPO,42,,73000,90.90679504018745
Cent-PPO,42,,74000,91.05653850332423
Cent-PPO,42,,75000,91.2302678478799
Cent-PPO,42,,76000,91.47708731786844
Cent-PPO,42,,77000,91.65452394709702
Cent-PPO,42,,78000,91.83260613566272
Cent-PPO,42,,79000,92.06256012549272
Cent-PPO,42,,80000,92.25207721263592
