table,column_index,column,dtypes,non_null,missing,numeric_count,numeric_min,numeric_max,numeric_mean,unique_count,sample_values
00_run_inventory.csv,0,method,object,39,0,0,,,,4,ours | cent_ppo | ma_a2c | mappo
00_run_inventory.csv,1,variant,object,39,0,0,,,,2,no_neighbor | full
00_run_inventory.csv,2,scenario,object,39,0,0,,,,3,urban | highway | mixed
00_run_inventory.csv,3,num_bs,int64,39,0,39,4.0,8.0,4.3076923076923075,2,4 | 8
00_run_inventory.csv,4,num_users,int64,39,0,39,20.0,160.0,81.53846153846153,7,80 | 160 | 20 | 40 | 60 | 100 | 120
00_run_inventory.csv,5,experiment,object,39,0,0,,,,5,ablation | bs_scale | main | mobility | user_load
00_run_inventory.csv,6,seed,int64,39,0,39,42.0,44.0,43.0,3,42 | 43 | 44
00_run_inventory.csv,7,run_id,object,39,0,0,,,,39,ours__no_neighbor__urban__bs4__u80__ablation__seed42 | ours__no_neighbor__urban__bs4__u80__ablation__seed43 | ours__no_neighbor__urban__bs4__u80__ablation__seed44 | ours__full__urban__bs8__u160__bs_scale__seed42 | ours__full__urban__bs8__u160__bs_scale__seed43 | ours__full__urban__bs8__u160__bs_scale__seed44 | cent_ppo__full__urban__bs4__u80__main__seed42 | cent_ppo__full__urban__bs4__u80__main__seed43
00_run_inventory.csv,8,num_eval_episodes,int64,39,0,39,20.0,20.0,20.0,1,20
00_run_inventory.csv,9,throughput_Mbps,float64,39,0,39,54.108540121296286,382.771250771976,198.17623012259165,37,197.2848343546112 | 197.41591915401816 | 197.4051598162672 | 382.771250771976 | 382.0346543393935 | 380.41166475309126 | 194.71791526768723 | 196.28279592206744
00_run_inventory.csv,10,mean_latency_ms,float64,39,0,39,56.6431545038429,247.45127209987976,144.0847722450537,39,159.82743558662582 | 136.09792108962682 | 138.58453969577886 | 153.93860818694296 | 164.56886634898885 | 144.67796880063648 | 148.39592498910088 | 136.1800538867453
00_run_inventory.csv,11,p95_latency_ms,float64,39,0,39,156.76785833903153,615.1386429246027,426.09146006325795,39,463.4143652118784 | 435.0799412153131 | 440.56996082321496 | 464.1761090046528 | 475.9401764730304 | 451.5772356837542 | 455.6972132631147 | 435.9439553817384
00_run_inventory.csv,12,deadline_satisfaction_pct,float64,39,0,39,23.8446875,80.46875,52.774754540598295,39,48.2903125 | 54.071875 | 53.6390625 | 50.55328125 | 47.70078125 | 52.98984375 | 51.2953125 | 54.0828125
00_run_inventory.csv,13,blocking_pct,float64,39,0,39,0.0,0.7040625,0.033032852564102565,5,0.0 | 0.4353125 | 0.14765625 | 0.7040625 | 0.00125
00_run_inventory.csv,14,avg_qoe,float64,39,0,39,0.6907398195868034,0.8531804251612084,0.7691376403306602,39,0.7577976149988108 | 0.7715297858169323 | 0.7692994928281734 | 0.7562472534286081 | 0.7493832583136063 | 0.7607690871451895 | 0.761572924259518 | 0.7703664735334008
00_run_inventory.csv,15,fairness,float64,39,0,39,0.9136425013389684,0.9854082746412848,0.9663603012753074,37,0.9685712940372366 | 0.9701855384829708 | 0.9701345796570656 | 0.967928502025557 | 0.9687394397709296 | 0.9680632083055056 | 0.964540834993249 | 0.9695868976458906
00_run_inventory.csv,16,energy_J_per_step,float64,39,0,39,436357.3642434348,996530.5319673036,525445.200995366,35,491088.67814345215 | 497288.9443074334 | 463962.8558399709 | 947878.08289943 | 915686.2205451193 | 996530.5319673036 | 493076.42710031866 | 499602.8602218264
00_run_inventory.csv,17,walltime_ms_per_step,float64,39,0,39,5.758032381534576,109.58228504657744,22.61603139913999,39,15.886526465415956 | 15.78698033094406 | 15.633168816566467 | 108.69055390357973 | 109.22710293531418 | 109.58228504657744 | 18.50565755367279 | 18.484669387340546
00_run_inventory.csv,18,mean_episode_return,float64,39,0,39,82.4154860353149,127.94622474207236,105.07314779840931,39,101.84620808330888 | 106.00196534627386 | 106.1809343597008 | 102.48603443692475 | 100.90129362177966 | 103.46314047853828 | 103.45825360919072 | 105.78595037027064
00_run_inventory.csv,19,training_iterations,int64,39,0,39,200.0,200.0,200.0,1,200
00_run_inventory.csv,20,training_env_steps,int64,39,0,39,200000.0,200000.0,200000.0,1,200000
00_run_inventory.csv,21,training_walltime_s,float64,39,0,39,2231.0208444595337,25070.348390579224,5847.705003010921,39,4587.96589422226 | 4641.41045665741 | 4573.923617601395 | 24856.40101838112 | 25050.253154039383 | 25070.348390579224 | 3885.9587893486014 | 3878.665544748306
00_run_inventory.csv,22,algorithm_backend,object,39,0,0,,,,2,rllib_ppo | ppo_single_pass_a2c_compat
