method,scenario,seed,mask_neighbor_summaries,num_bs,num_users,experiment,run_id,variant
ours,urban,42,False,4,80,main,ours__full__urban__bs4__u80__main__seed42,full
ours,urban,43,False,4,80,main,ours__full__urban__bs4__u80__main__seed43,full
ours,urban,44,False,4,80,main,ours__full__urban__bs4__u80__main__seed44,full
mappo,urban,42,False,4,80,main,mappo__full__urban__bs4__u80__main__seed42,full
mappo,urban,43,False,4,80,main,mappo__full__urban__bs4__u80__main__seed43,full
mappo,urban,44,False,4,80,main,mappo__full__urban__bs4__u80__main__seed44,full
cent_ppo,urban,42,False,4,80,main,cent_ppo__full__urban__bs4__u80__main__seed42,full
cent_ppo,urban,43,False,4,80,main,cent_ppo__full__urban__bs4__u80__main__seed43,full
cent_ppo,urban,44,False,4,80,main,cent_ppo__full__urban__bs4__u80__main__seed44,full
ma_a2c,urban,42,False,4,80,main,ma_a2c__full__urban__bs4__u80__main__seed42,full
ma_a2c,urban,43,False,4,80,main,ma_a2c__full__urban__bs4__u80__main__seed43,full
ma_a2c,urban,44,False,4,80,main,ma_a2c__full__urban__bs4__u80__main__seed44,full
ours,urban,42,True,4,80,ablation,ours__no_neighbor__urban__bs4__u80__ablation__seed42,no_neighbor
ours,urban,43,True,4,80,ablation,ours__no_neighbor__urban__bs4__u80__ablation__seed43,no_neighbor
ours,urban,44,True,4,80,ablation,ours__no_neighbor__urban__bs4__u80__ablation__seed44,no_neighbor
ours,highway,42,False,4,80,mobility,ours__full__highway__bs4__u80__mobility__seed42,full
ours,highway,43,False,4,80,mobility,ours__full__highway__bs4__u80__mobility__seed43,full
ours,highway,44,False,4,80,mobility,ours__full__highway__bs4__u80__mobility__seed44,full
ours,mixed,42,False,4,80,mobility,ours__full__mixed__bs4__u80__mobility__seed42,full
ours,mixed,43,False,4,80,mobility,ours__full__mixed__bs4__u80__mobility__seed43,full
ours,mixed,44,False,4,80,mobility,ours__full__mixed__bs4__u80__mobility__seed44,full
ours,urban,42,False,4,20,user_load,ours__full__urban__bs4__u20__user_load__seed42,full
ours,urban,43,False,4,20,user_load,ours__full__urban__bs4__u20__user_load__seed43,full
ours,urban,44,False,4,20,user_load,ours__full__urban__bs4__u20__user_load__seed44,full
ours,urban,42,False,4,40,user_load,ours__full__urban__bs4__u40__user_load__seed42,full
ours,urban,43,False,4,40,user_load,ours__full__urban__bs4__u40__user_load__seed43,full
ours,urban,44,False,4,40,user_load,ours__full__urban__bs4__u40__user_load__seed44,full
ours,urban,42,False,4,60,user_load,ours__full__urban__bs4__u60__user_load__seed42,full
ours,urban,43,False,4,60,user_load,ours__full__urban__bs4__u60__user_load__seed43,full
ours,urban,44,False,4,60,user_load,ours__full__urban__bs4__u60__user_load__seed44,full
ours,urban,42,False,4,100,user_load,ours__full__urban__bs4__u100__user_load__seed42,full
ours,urban,43,False,4,100,user_load,ours__full__urban__bs4__u100__user_load__seed43,full
ours,urban,44,False,4,100,user_load,ours__full__urban__bs4__u100__user_load__seed44,full
ours,urban,42,False,4,120,user_load,ours__full__urban__bs4__u120__user_load__seed42,full
ours,urban,43,False,4,120,user_load,ours__full__urban__bs4__u120__user_load__seed43,full
ours,urban,44,False,4,120,user_load,ours__full__urban__bs4__u120__user_load__seed44,full
ours,urban,42,False,8,160,bs_scale,ours__full__urban__bs8__u160__bs_scale__seed42,full
ours,urban,43,False,8,160,bs_scale,ours__full__urban__bs8__u160__bs_scale__seed43,full
ours,urban,44,False,8,160,bs_scale,ours__full__urban__bs8__u160__bs_scale__seed44,full
