graph,table,role,required,status,matched_column,accepted_candidates,closest_available_columns
01_mean_throughput,03_main_cross_seed_summary.csv,algorithm,True,matched,algorithm,algorithm | method,algorithm | walltime_ms_per_step_sd | avg_qoe_sd | avg_qoe_mean | training_walltime_s_sd
01_mean_throughput,03_main_cross_seed_summary.csv,throughput_mean,True,matched,throughput_Mbps_mean,throughput_Mbps_mean | throughput_mean,throughput_Mbps_mean | throughput_Mbps_sem | throughput_Mbps_sd | throughput_Mbps_ci95 | mean_latency_ms_mean
01_mean_throughput,03_main_cross_seed_summary.csv,throughput_sd,False,matched,throughput_Mbps_sd,throughput_Mbps_sd | throughput_sd,throughput_Mbps_sd | throughput_Mbps_sem | throughput_Mbps_mean | throughput_Mbps_ci95 | energy_J_per_step_sem
02_mean_p95_latency,03_main_cross_seed_summary.csv,algorithm,True,matched,algorithm,algorithm | method,algorithm | walltime_ms_per_step_sd | avg_qoe_sd | avg_qoe_mean | training_walltime_s_sd
02_mean_p95_latency,03_main_cross_seed_summary.csv,mean_latency,True,matched,mean_latency_ms_mean,mean_latency_ms_mean | latency_ms_mean,mean_latency_ms_mean | mean_latency_ms_sd | mean_latency_ms_sem | mean_latency_ms_ci95 | p95_latency_ms_mean
02_mean_p95_latency,03_main_cross_seed_summary.csv,p95_latency,True,matched,p95_latency_ms_mean,p95_latency_ms_mean | tail_latency_ms_mean,p95_latency_ms_mean | mean_latency_ms_mean | p95_latency_ms_sd | p95_latency_ms_sem | p95_latency_ms_ci95
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,algorithm,True,matched,algorithm,algorithm | method,algorithm | light_hits_pooled | overall_hits_pooled | heavy_hits_pooled | light_deadline_pct_mean
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,overall_mean,True,matched,overall_deadline_pct_mean,overall_deadline_pct_mean | overall_deadline_satisfaction_pct_mean | deadline_overall_pct_mean | deadline_satisfaction_pct_mean | overall_deadline_pct_pooled,overall_deadline_pct_pooled | overall_deadline_pct_mean | light_deadline_pct_pooled | heavy_deadline_pct_pooled | overall_deadline_pct_sd
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,overall_sd,False,matched,overall_deadline_pct_sd,overall_deadline_pct_sd | overall_deadline_satisfaction_pct_sd | deadline_overall_pct_sd | deadline_satisfaction_pct_sd,overall_deadline_pct_mean | overall_deadline_pct_sd | overall_deadline_pct_ci95 | overall_deadline_pct_pooled | light_deadline_pct_mean
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,light_mean,True,matched,light_deadline_pct_mean,light_deadline_pct_mean | light_deadline_satisfaction_pct_mean | deadline_light_pct_mean | light_deadline_pct_pooled,light_deadline_pct_pooled | light_deadline_pct_mean | heavy_deadline_pct_pooled | overall_deadline_pct_pooled | heavy_deadline_pct_mean
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,light_sd,False,matched,light_deadline_pct_sd,light_deadline_pct_sd | light_deadline_satisfaction_pct_sd | deadline_light_pct_sd,light_deadline_pct_mean | light_deadline_pct_sd | light_deadline_pct_ci95 | light_deadline_pct_pooled | overall_deadline_pct_mean
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,heavy_mean,True,matched,heavy_deadline_pct_mean,heavy_deadline_pct_mean | heavy_deadline_satisfaction_pct_mean | deadline_heavy_pct_mean | heavy_deadline_pct_pooled,heavy_deadline_pct_pooled | overall_deadline_pct_pooled | heavy_deadline_pct_mean | light_deadline_pct_pooled | heavy_deadline_pct_sd
03_deadline_light_heavy,06_deadline_overall_light_heavy.csv,heavy_sd,False,matched,heavy_deadline_pct_sd,heavy_deadline_pct_sd | heavy_deadline_satisfaction_pct_sd | deadline_heavy_pct_sd,heavy_deadline_pct_mean | heavy_deadline_pct_sd | heavy_deadline_pct_ci95 | heavy_deadline_pct_pooled | overall_deadline_pct_mean
04_qoe_cdf,18_qoe_per_user_samples.csv,algorithm,True,matched,algorithm,algorithm | method,algorithm | method | user_id | mean_qoe | seed
04_qoe_cdf,18_qoe_per_user_samples.csv,qoe,True,matched,mean_qoe,mean_qoe | avg_qoe | qoe_mean | qoe,mean_qoe | method | seed | user_id | algorithm
04_qoe_cdf,18_qoe_per_user_samples.csv,user,False,matched,user_id,user_id | ue_id | vehicle_id,user_id | seed | algorithm | method | mean_qoe
04_qoe_cdf,18_qoe_per_user_samples.csv,seed,False,matched,seed,seed | seed_id,user_id | seed | method | mean_qoe | algorithm
