run_id,run_path,method,variant,scenario,seed,experiment,num_bs,num_users,code_version,run_summary_exists,run_summary_bytes,train_iterations_exists,train_iterations_bytes,eval_episodes_exists,eval_episodes_bytes,eval_steps_exists,eval_steps_bytes,eval_bs_steps_exists,eval_bs_steps_bytes,eval_user_metrics_exists,eval_user_metrics_bytes,eval_user_steps_exists,eval_user_steps_bytes
cent_ppo__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42,cent_ppo,full,urban,42,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1044,True,31403,True,4273,True,3496473,True,3913377,True,9733,True,92090493
cent_ppo__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43,cent_ppo,full,urban,43,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1046,True,31430,True,4273,True,3480073,True,3776949,True,9739,True,89962316
cent_ppo__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44,cent_ppo,full,urban,44,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1039,True,31442,True,4246,True,3454431,True,3792483,True,9730,True,92949632
ma_a2c__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42,ma_a2c,full,urban,42,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1043,True,30682,True,4167,True,3343920,True,3855145,True,9416,True,94411760
ma_a2c__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,full,urban,43,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1043,True,30673,True,4164,True,3344424,True,3854960,True,9409,True,94405611
ma_a2c__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,full,urban,44,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1044,True,30636,True,4145,True,3340739,True,3858658,True,9419,True,94388545
mappo__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42,mappo,full,urban,42,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1028,True,30226,True,4120,True,3446402,True,3768968,True,9253,True,92572057
mappo__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43,mappo,full,urban,43,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1033,True,30287,True,4113,True,3484156,True,3791888,True,9253,True,88178948
mappo__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44,mappo,full,urban,44,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1027,True,30250,True,4121,True,3538948,True,3949636,True,9246,True,88685474
ours__full__highway__bs4__u80__mobility__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42,ours,full,highway,42,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1054,True,32256,True,4343,True,3364622,True,3796609,True,10053,True,95798735
ours__full__highway__bs4__u80__mobility__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43,ours,full,highway,43,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1046,True,32282,True,4314,True,3409241,True,3834053,True,10058,True,92056956
ours__full__highway__bs4__u80__mobility__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44,ours,full,highway,44,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1044,True,32253,True,4315,True,3271738,True,3741209,True,10049,True,91811227
ours__full__mixed__bs4__u80__mobility__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42,ours,full,mixed,42,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1038,True,31448,True,4236,True,3308660,True,3674115,True,9729,True,94017372
ours__full__mixed__bs4__u80__mobility__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43,ours,full,mixed,43,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1054,True,31461,True,4278,True,3379153,True,3692740,True,9729,True,90246319
ours__full__mixed__bs4__u80__mobility__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44,ours,full,mixed,44,mobility,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1046,True,31461,True,4251,True,3386526,True,3720070,True,9737,True,90248879
ours__full__urban__bs4__u100__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed42,ours,full,urban,42,user_load,4,100,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1043,True,32246,True,4235,True,3458089,True,3815517,True,12551,True,118835930
ours__full__urban__bs4__u100__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed43,ours,full,urban,43,user_load,4,100,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1033,True,32258,True,4251,True,3298660,True,3736702,True,12554,True,114104674
ours__full__urban__bs4__u100__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed44,ours,full,urban,44,user_load,4,100,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1049,True,32252,True,4269,True,3305969,True,3740769,True,12540,True,114114643
