algorithm,metric,raw_recomputed_mean,raw_recomputed_sd,processed_mean,processed_sd,processed_mean_column,processed_sd_column,difference_processed_minus_raw,relative_difference_pct,mean_matches_raw
Cent-PPO,throughput,195.64024951378053,0.819099378129197,195.64024951378053,0.819099378129197,throughput_Mbps_mean,throughput_Mbps_sd,0.0,0.0,True
Cent-PPO,mean_latency,146.60635236098256,9.656689479480308,146.60635236098256,9.656689479480308,mean_latency_ms_mean,mean_latency_ms_sd,0.0,0.0,True
Cent-PPO,p95_latency,452.0521442926225,14.630270613303189,452.0521442926225,14.630270613303187,p95_latency_ms_mean,p95_latency_ms_sd,0.0,0.0,True
Cent-PPO,deadline,51.670625,2.2481512152697287,51.670625,2.2481512152697287,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,0.0,0.0,True
Cent-PPO,blocking,0.0,0.0,0.0,0.0,blocking_pct_mean,blocking_pct_sd,0.0,,True
Cent-PPO,qoe,0.7635842690103217,0.006033444657332055,0.7635842690103217,0.006033444657332,avg_qoe_mean,avg_qoe_sd,0.0,0.0,True
Cent-PPO,fairness,0.9660488793668506,0.003075106927598929,0.9660488793668506,0.0030751069275989,fairness_mean,fairness_sd,0.0,0.0,True
Cent-PPO,energy,496439.31705834233,3267.780084514298,496439.31705834233,3267.780084514298,energy_J_per_step_mean,energy_J_per_step_sd,0.0,0.0,True
MA-A2C,throughput,197.28461253355343,0.0,197.28461253355343,0.0,throughput_Mbps_mean,throughput_Mbps_sd,0.0,0.0,True
MA-A2C,mean_latency,226.53769796637434,18.13323064433353,226.53769796637437,18.13323064433353,mean_latency_ms_mean,mean_latency_ms_sd,2.842170943040401e-14,1.2546127944949244e-14,True
MA-A2C,p95_latency,488.79094391572636,62.200211846633735,488.7909439157264,62.200211846633735,p95_latency_ms_mean,p95_latency_ms_sd,5.684341886080802e-14,1.1629392804505095e-14,True
MA-A2C,deadline,24.662291666666665,0.712483712350383,24.662291666666665,0.712483712350383,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,0.0,0.0,True
MA-A2C,blocking,0.0,0.0,0.0,0.0,blocking_pct_mean,blocking_pct_sd,0.0,,True
MA-A2C,qoe,0.712032582466222,0.01846140401545075,0.712032582466222,0.0184614040154507,avg_qoe_mean,avg_qoe_sd,0.0,0.0,True
MA-A2C,fairness,0.9652481982539372,0.0,0.9652481982539372,0.0,fairness_mean,fairness_sd,0.0,0.0,True
MA-A2C,energy,500160.0,0.0,500160.0,0.0,energy_J_per_step_mean,energy_J_per_step_sd,0.0,0.0,True
MAPPO,throughput,194.85931244744856,2.5853040169119446,194.85931244744856,2.585304016911945,throughput_Mbps_mean,throughput_Mbps_sd,0.0,0.0,True
MAPPO,mean_latency,147.2822777693265,15.07112954606436,147.2822777693265,15.07112954606436,mean_latency_ms_mean,mean_latency_ms_sd,0.0,0.0,True
MAPPO,p95_latency,451.3770213356038,21.071991931542883,451.3770213356038,21.071991931542883,p95_latency_ms_mean,p95_latency_ms_sd,0.0,0.0,True
MAPPO,deadline,51.56843750000001,3.4655173422187264,51.56843750000001,3.4655173422187264,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,0.0,0.0,True
MAPPO,blocking,0.0,0.0,0.0,0.0,blocking_pct_mean,blocking_pct_sd,0.0,,True
MAPPO,qoe,0.7617050257680081,0.007836378352220735,0.7617050257680081,0.0078363783522207,avg_qoe_mean,avg_qoe_sd,0.0,0.0,True
MAPPO,fairness,0.9713528533558927,0.004869903695216153,0.9713528533558928,0.0048699036952161,fairness_mean,fairness_sd,1.1102230246251565e-16,1.1429657315459426e-14,True
MAPPO,energy,457155.9178867992,28565.11201028224,457155.9178867992,28565.11201028224,energy_J_per_step_mean,energy_J_per_step_sd,0.0,0.0,True
Ours,throughput,197.12994218923745,0.4906425261316262,197.12994218923745,0.4906425261316262,throughput_Mbps_mean,throughput_Mbps_sd,0.0,0.0,True
Ours,mean_latency,145.01250578816004,12.485498152567509,145.01250578816004,12.485498152567509,mean_latency_ms_mean,mean_latency_ms_sd,0.0,0.0,True
Ours,p95_latency,447.27694963560793,14.528110488200884,447.27694963560793,14.528110488200884,p95_latency_ms_mean,p95_latency_ms_sd,0.0,0.0,True
Ours,deadline,51.98322916666667,3.1165842356941167,51.98322916666667,3.1165842356941167,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,0.0,0.0,True
Ours,blocking,0.0,0.0,0.0,0.0,blocking_pct_mean,blocking_pct_sd,0.0,,True
Ours,qoe,0.765818718091134,0.007316107580949446,0.765818718091134,0.0073161075809494,avg_qoe_mean,avg_qoe_sd,0.0,0.0,True
Ours,fairness,0.9698903319688469,0.0011202161198338454,0.9698903319688468,0.0011202161198338,fairness_mean,fairness_sd,-1.1102230246251565e-16,-1.1446892375671368e-14,True
Ours,energy,483010.5711489274,29005.310380477735,483010.5711489274,29005.31038047773,energy_J_per_step_mean,energy_J_per_step_sd,0.0,0.0,True
