table,path,size_bytes,rows,columns,sha256,read_error
00_run_inventory.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/00_run_inventory.csv,26912,39,28,0c394e0d4587831692456805127165e955abde714e8df4ce0dc07c65690ea00d,
01_run_integrity_audit.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/01_run_integrity_audit.csv,5086,39,21,86bbea98cab30c91680ed3cf4de058cef81876c17528b96a1917e7ad633adc1b,
02_main_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/02_main_seed_metrics.csv,4844,12,23,3193a7178abe0ccfb7b60ec3c3f9b55106ee22304b378e492ba67c4fcf57c11b,
03_main_cross_seed_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/03_main_cross_seed_summary.csv,3916,4,46,bfdfdbac23f14b664319cb4871cf1686cd4343024fdaf68664479b1fe279b4af,
04_task_deadline_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/04_task_deadline_seed_metrics.csv,6070,36,15,294a4946a79399fdd655ed726d3bb570821630fb6d04ad58fa17cfd53a133ed7,
05_task_deadline_cross_seed_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/05_task_deadline_cross_seed_summary.csv,3618,12,19,9aa5d452620e66eec0528b6cca3f6f5329e79bd32bbc146fad1ca60a51322774,
06_deadline_overall_light_heavy.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/06_deadline_overall_light_heavy.csv,1384,4,19,2dcc464393d4a048f913d4064eef08dc8417683223cb30dd81a4ea65b5e4fe44,
07_deadline_reconstruction_audit.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/07_deadline_reconstruction_audit.csv,1856,12,17,e661c002043a2923c6bf675164dfd99383bc90515d962cabe5478dcd35c28b7b,
08_service_class_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/08_service_class_seed_metrics.csv,4312,24,15,3a8d1f5a9d256f9dd9baf8baa7efabb163b77a4e1a9206c6976803249e6549af,
09_service_class_cross_seed_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/09_service_class_cross_seed_summary.csv,2637,8,19,33cbd35d5b2dc400ebe529bce1c20dfed71236888b41986f00bcdce5f83f5458,
10_neighbor_ablation_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/10_neighbor_ablation_seed_metrics.csv,2667,6,24,c2c96cbcc77290d0af080765b062d4d61608b586ad0f2ca1ed31cb314e35ae31,
11_neighbor_ablation_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/11_neighbor_ablation_summary.csv,2942,2,62,ce07ca79f620f17d37b1d23dd0f4bd4898e2e629517c36bf85085fefe400a12d,
12_mobility_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/12_mobility_seed_metrics.csv,3789,9,24,4f310adcea1a89daba88f8d7cc32ad4a740fa0e837851dc3bdbd3111b2a1e90d,
13_mobility_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/13_mobility_summary.csv,3864,3,62,01f98111a20bdb08be52776ac0381bbbac412bc9fe9ffe9dbd05b0234a2216f2,
14_user_load_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/14_user_load_seed_metrics.csv,7279,18,24,9faf320dcb293f2e58e11fa87b458c443be0e67db38b1d55d359ca2db1f6f877,
15_user_load_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/15_user_load_summary.csv,6163,6,56,a34dd0b6c09290b27a1416ebffc09572064d45914a53d140951fb7836364045b,
16_bs_scalability_seed_metrics.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/16_bs_scalability_seed_metrics.csv,2639,6,24,49c24187a51e0a562b735eb82993e57f70e94d9c95ff13bda5247e99c17d9f8e,
17_bs_scalability_summary.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/17_bs_scalability_summary.csv,2866,2,56,8cf2d4467e17eab0a518cf7faf6bd45170d6a1bd63bec379dd002e7140b9878f,
18_qoe_per_user_samples.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/18_qoe_per_user_samples.csv,36765,960,5,dcd2cf032bc7785ccfdec2b70fdec63f983bf15d7d13773332ae636e918b4f81,
19_training_curve_seed.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/19_training_curve_seed.csv,84937,2400,5,c22c94edc4f64a2df94522016de98d41e465d99cfd895b80a33e4c733d8f22a5,
20_training_curve_cross_seed.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/20_training_curve_cross_seed.csv,43283,800,5,3de1ff0366cd5d3c843b5a0752554328263c236c53870981116c73b404cdd2d3,
21_figure_manifest.csv,/home/umb/Desktop/mappo2/paper_analysis_v51/tables/21_figure_manifest.csv,1726,18,3,3616f56488dd3f43386abd1ed62dc051790c7e320f3e29fea9c6e7d9cc01bb9e,
