run_id,method,seed,scenario,num_bs,num_users,service_class,deadline_hits,deadline_candidates,deadline_satisfaction_pct,mean_latency_ms,p95_latency_ms,mean_qoe
ours__full__urban__bs4__u80__main__seed42,ours,42,urban,4,80,infotainment,111584,230200,48.47263249348393,159.1458570547832,462.49859820170025,0.6983838091730004
ours__full__urban__bs4__u80__main__seed42,ours,42,urban,4,80,safety,43310,89800,48.229398663697104,159.5442778916198,465.2624596640472,0.9094353523316212
ours__full__urban__bs4__u80__main__seed43,ours,43,urban,4,80,infotainment,124537,230200,54.0994787141616,135.88408196743737,434.27775722621834,0.7127117261424446
ours__full__urban__bs4__u80__main__seed43,ours,43,urban,4,80,safety,48582,89800,54.10022271714922,136.18269113255747,436.3946849076743,0.9227444365779227
ours__full__urban__bs4__u80__main__seed44,ours,44,urban,4,80,infotainment,123063,230200,53.45916594265856,139.735746969714,443.08981324426406,0.7092393447616385
ours__full__urban__bs4__u80__main__seed44,ours,44,urban,4,80,safety,47963,89800,53.410913140311806,140.00738110155004,445.6208664379405,0.9193222152524171
mappo__full__urban__bs4__u80__main__seed42,mappo,42,urban,4,80,infotainment,109718,230200,47.66203301476977,164.36333190560353,474.0714659886638,0.6946817321520684
mappo__full__urban__bs4__u80__main__seed42,mappo,42,urban,4,80,safety,42598,89800,47.43652561247216,164.6437575723786,475.5573685712909,0.9049960105189877
mappo__full__urban__bs4__u80__main__seed43,mappo,43,urban,4,80,infotainment,124336,230200,54.012163336229364,136.09626742466025,432.80972080311165,0.7096290360715166
mappo__full__urban__bs4__u80__main__seed43,mappo,43,urban,4,80,safety,48433,89800,53.93429844097996,136.44160252412897,435.3728490926657,0.9224875004606686
mappo__full__urban__bs4__u80__main__seed44,mappo,44,urban,4,80,infotainment,122341,230200,53.145525629887054,141.0943171761379,445.41218419875685,0.7012327191605376
mappo__full__urban__bs4__u80__main__seed44,mappo,44,urban,4,80,safety,47631,89800,53.04120267260579,141.51235792999333,447.2242533203149,0.9179587378116897
cent_ppo__full__urban__bs4__u80__main__seed42,cent_ppo,42,urban,4,80,infotainment,118137,230200,51.31928757602085,148.33583532734843,454.79196578905186,0.7016885856383995
cent_ppo__full__urban__bs4__u80__main__seed42,cent_ppo,42,urban,4,80,safety,46008,89800,51.233853006681514,148.54996329795853,458.09390774638007,0.915084892528799
cent_ppo__full__urban__bs4__u80__main__seed43,cent_ppo,43,urban,4,80,infotainment,124465,230200,54.068201563857514,136.15752720098249,435.4178074731246,0.7109640476119536
cent_ppo__full__urban__bs4__u80__main__seed43,cent_ppo,43,urban,4,80,safety,48600,89800,54.12026726057906,136.23780046873418,436.9937358574852,0.9226430709400506
cent_ppo__full__urban__bs4__u80__main__seed44,cent_ppo,44,urban,4,80,infotainment,114380,230200,49.687228496959165,155.06185338579533,463.8358458042143,0.6994092630239119
cent_ppo__full__urban__bs4__u80__main__seed44,cent_ppo,44,urban,4,80,safety,44448,89800,49.496659242761694,155.70764339490404,466.41758719068065,0.9110944165709377
ma_a2c__full__urban__bs4__u80__main__seed42,ma_a2c,42,urban,4,80,infotainment,57532,230200,24.99218071242398,216.94664779698627,451.79158245495427,0.6627579394951111
ma_a2c__full__urban__bs4__u80__main__seed42,ma_a2c,42,urban,4,80,safety,22442,89800,24.99109131403118,217.01053915243986,454.8225865539128,0.8731234585670806
ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,43,urban,4,80,infotainment,57910,230200,25.156385751520418,215.17522096248092,452.2321142694197,0.6645358051507341
ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,43,urban,4,80,safety,22571,89800,25.134743875278396,215.25370124097296,455.24043195510154,0.8748889788752624
ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,44,urban,4,80,infotainment,54785,230200,23.79887054735013,247.50251122068485,560.5258511411547,0.631644849197793
ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,44,urban,4,80,safety,21518,89800,23.962138084632517,247.31992192605657,560.9053121278779,0.842228262610747
