run_id,method,seed,scenario,num_bs,num_users,task_type,deadline_hits,deadline_candidates,deadline_satisfaction_pct,mean_latency_ms,p95_latency_ms,mean_qoe
ours__full__urban__bs4__u80__main__seed42,ours,42,urban,4,80,heavy,58638,223744,26.20763014874142,220.1630136159092,492.8594886316258,0.7188541740613945
ours__full__urban__bs4__u80__main__seed42,ours,42,urban,4,80,light,96256,96256,100.0,17.685122280175506,40.35146498310926,0.8476971740962804
ours__full__urban__bs4__u80__main__seed43,ours,43,urban,4,80,heavy,76863,223744,34.35309997139588,193.0311655189306,463.84651412393447,0.7385921965059251
ours__full__urban__bs4__u80__main__seed43,ours,43,urban,4,80,light,96256,96256,100.0,3.326091202004432,3.46526935302158,0.8484989751045802
ours__full__urban__bs4__u80__main__seed44,ours,44,urban,4,80,heavy,74770,223744,33.417655892448515,198.5290096812028,472.1682803918875,0.7336478361342877
ours__full__urban__bs4__u80__main__seed44,ours,44,urban,4,80,light,96256,96256,100.0,3.326099497551545,3.4652749607015503,0.8484949576729364
mappo__full__urban__bs4__u80__main__seed42,mappo,42,urban,4,80,heavy,56060,223744,25.0554204805492,227.3691579183781,503.2401900750609,0.712993063725178
mappo__full__urban__bs4__u80__main__seed42,mappo,42,urban,4,80,light,96256,96256,100.0,18.169917359748457,41.3998608085131,0.8483258855124356
mappo__full__urban__bs4__u80__main__seed43,mappo,43,urban,4,80,heavy,76529,223744,34.20382222540046,193.31822929775257,461.96932282800464,0.7362608504922966
mappo__full__urban__bs4__u80__main__seed43,mappo,43,urban,4,80,light,96240,96256,99.98337765957447,3.4078163628990366,3.4832501709212638,0.8463060371559471
mappo__full__urban__bs4__u80__main__seed44,mappo,44,urban,4,80,heavy,74072,223744,33.10569221967963,200.19077334478723,474.2506155412532,0.7271879531413264
mappo__full__urban__bs4__u80__main__seed44,mappo,44,urban,4,80,light,95900,96256,99.63015292553192,4.116493151640243,3.5124382731060884,0.843090562859381
cent_ppo__full__urban__bs4__u80__main__seed42,cent_ppo,42,urban,4,80,heavy,67889,223744,30.34226616132723,207.90746634174388,486.4842907474965,0.7252796712406694
cent_ppo__full__urban__bs4__u80__main__seed42,cent_ppo,42,urban,4,80,light,96256,96256,100.0,10.063246419393487,33.31044295392675,0.8459354326065225
cent_ppo__full__urban__bs4__u80__main__seed43,cent_ppo,43,urban,4,80,heavy,76809,223744,34.32896524599543,193.33309985729167,465.4620369951616,0.7372199254020779
cent_ppo__full__urban__bs4__u80__main__seed43,cent_ppo,43,urban,4,80,light,96256,96256,100.0,3.3296225615923194,3.4750610543963045,0.8474145667961032
cent_ppo__full__urban__bs4__u80__main__seed44,cent_ppo,44,urban,4,80,heavy,62572,223744,27.965889588100687,215.79904063958602,495.778622745688,0.7208460101431522
cent_ppo__full__urban__bs4__u80__main__seed44,cent_ppo,44,urban,4,80,light,96256,96256,100.0,14.482676169890128,38.853470024411706,0.8470674167086245
ma_a2c__full__urban__bs4__u80__main__seed42,ma_a2c,42,urban,4,80,heavy,68528,223744,30.627860411899313,206.95942176440232,483.2077844186647,0.7287914146510249
ma_a2c__full__urban__bs4__u80__main__seed42,ma_a2c,42,urban,4,80,light,11446,96256,11.891206781914894,240.22124205764726,406.0878095047245,0.7055212970767482
ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,43,urban,4,80,heavy,68258,223744,30.507186784897026,207.3636141385486,483.5955799080097,0.728512239224629
ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,43,urban,4,80,light,12223,96256,12.698429188829786,233.40626823457305,394.5052369023246,0.7120691717464068
ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,44,urban,4,80,heavy,73164,223744,32.69987128146453,199.98208389008184,476.1750829437716,0.7335212775926505
ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,44,urban,4,80,light,3139,96256,3.2610954122340425,357.79188511946336,605.9670783263117,0.5912956858178926
